,location,Abfallverwertung,Iberg,Eidberg,Bahnhof_Seen,Bahnhof_Wulflingen,Bahnhof_Toss,Bahnhof_Seuzach,Bahnhof_Gruze,Kantonsschule_Rychenberg,Stadthaus,Fachschule_Hard,Technopark,Breite,Kantonsspital,Museum_Romerholz,Sulzer,Dattnau,Lindspitz,Rosenberg,Alte_Kaserne,ZHAW_Technikum,ZHAW_Volkart,Schloss_Wulflingen,Rosenau,Feuerwehr,Technorama,ConCordia
0,Abfallverwertung,0,4891,5857,2414,6604,4027,6267,1162,2872,2180,5232,3626,2412,3002,3631,2834,6788,3333,4542,1861,1995,2656,4936,4357,2010,3520,3781
1,Iberg,4891,0,1808,3310,10098,7522,9684,5405,7437,5934,8726,7281,5907,6755,7385,6489,10282,7086,8295,5516,5650,6409,8690,7851,5505,6936,7534
2,Eidberg,5857,1808,0,4276,11065,8489,10651,7382,8403,6900,9693,8247,6873,7722,8351,7456,11249,8053,9261,6482,6616,7375,9656,8818,6471,7903,8501
3,Bahnhof_Seen,2403,3308,4275,0,7837,5261,7230,2950,4661,3673,6466,5020,3646,4494,5124,4228,8021,4826,6034,3255,3389,4148,6429,5591,3244,4482,5273
4,Bahnhof_Wulflingen,6604,10098,11065,7803,0,3244,8315,6166,5364,4849,1372,3417,4192,4682,5312,3651,3987,3642,5962,4629,4495,3939,1999,3815,5003,11941,3194
5,Bahnhof_Toss,4027,7522,8489,5226,3244,0,6787,4069,3897,3144,1872,1290,1616,3216,3845,1523,3575,2783,3991,2524,2390,2472,4065,664,2860,6262,3230
6,Bahnhof_Seuzach,6304,9683,11748,7194,8323,6756,0,6330,5634,5195,8517,6019,7374,4832,5164,5467,12604,3973,2772,5746,5880,4840,7591,11071,6205,4866,4421
7,Bahnhof_Gruze,994,5690,7372,3201,6159,4069,5406,0,2542,1850,4787,3295,2453,2671,3301,2503,6897,3003,4211,1530,1664,2325,4606,4466,1692,2683,3450
8,Kantonsschule_Rychenberg,2806,7379,8345,5542,5001,3849,5636,2644,0,1535,4604,3112,3714,824,1172,2560,6758,1364,2451,2086,2220,1543,3353,4419,2544,3212,1811
9,Stadthaus,2428,6364,7330,4068,4474,3011,5226,2265,1572,0,3767,2275,2699,890,1520,1723,5920,1222,2430,1071,1205,544,2825,4007,1529,4151,1669
10,Fachschule_Hard,5232,8726,9693,6431,1372,1872,8510,4794,4653,3877,0,2045,2820,3971,4601,2279,4907,3538,6156,3257,3123,3228,2194,2443,3631,12136,3389
11,Technopark,3464,7298,8265,5002,3417,1290,6050,3301,3161,2385,2045,0,1900,2479,3109,787,4199,2046,3254,1765,1631,1736,3179,1861,2138,5503,2493
12,Breite,2412,5907,6873,3611,4192,1616,7426,2453,3772,2269,2820,1900,0,3090,3720,2133,4376,3422,4630,1600,1677,2744,4525,1945,1244,4877,3869
13,Kantonsspital,2810,6746,7713,4450,4507,3216,4874,2648,935,902,3972,2479,3081,0,883,1927,6125,870,2078,1453,1587,910,2859,3787,1912,4138,1317
14,Museum_Romerholz,3428,7364,8330,5068,4986,3834,5232,3266,1137,1520,4589,3097,3699,904,0,2545,6743,1349,2436,2071,2205,1528,3338,4404,2529,4340,1796
15,Sulzer,2673,6507,7473,4211,3651,1523,5412,2510,2523,1594,2279,787,2133,1841,2470,0,4432,1408,2616,973,839,1097,2541,2094,1347,4712,1447
16,Dattnau,6986,10481,11447,8185,3987,3577,12560,7027,6808,6032,4907,4200,4574,6126,6756,4434,0,5693,9727,5412,5278,5383,5534,3025,5818,15707,6730
17,Lindspitz,3130,7066,8032,4770,3638,2783,4004,2968,1540,1222,3538,2046,3401,858,1488,1494,5692,0,1208,1773,1907,867,1989,3353,2231,4743,448
18,Rosenberg,4332,8267,9234,5971,5326,3984,2796,4169,2444,2423,5520,3247,4603,2060,2392,2695,9341,1201,0,2974,3108,2068,4328,7808,3433,8059,1649
19,Alte_Kaserne,1699,5533,6500,3237,4629,2607,5777,1537,2123,620,3257,1765,1869,1442,2071,973,5367,1773,2981,0,134,1095,3316,2936,699,3738,2221
20,ZHAW_Technikum,1833,5667,6634,3371,4495,2473,5911,1671,2257,754,3123,1631,1677,1576,2205,839,5233,1907,3115,134,0,1229,3182,2802,508,3872,2354
21,ZHAW_Volkart,3065,7000,7967,4705,3925,2463,4903,2902,1892,637,3219,1726,3073,1211,1840,1174,5372,899,2108,1863,1729,0,2277,3034,2237,4787,1347
22,Schloss_Wulflingen,4771,8707,9673,6411,1995,4061,7609,4609,3711,3196,2189,3179,4525,3029,3659,2541,5530,1989,3197,3414,3182,2286,0,5584,3872,10756,1542
23,Rosenau,4357,7851,8818,5556,3824,664,11242,4398,4977,3474,2452,1870,1945,4295,4925,2103,2827,3363,8410,2853,2720,3052,6290,0,3189,6592,3810
24,Feuerwehr,2053,5548,6514,3252,5436,2860,6256,2095,2602,1099,4064,2138,1244,1921,2550,1347,5620,2252,3460,430,508,1574,3689,3189,0,4217,2700
25,Technorama,3186,6565,8631,4076,11917,5970,4190,3213,2841,3365,6621,5129,4695,3655,4004,4337,15932,4195,6962,3364,3498,3840,10919,6300,3526,0,4643
26,ConCordia,3578,7513,8480,5217,3190,2884,4451,3415,1811,1669,3384,2147,3849,1306,1759,1595,6725,448,1656,2221,2355,1118,1542,3455,2679,5014,0
